country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","15-02-2026 11:00:00",14.675886,77.593027,CO,26,41,37
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","15-02-2026 11:00:00",13.204880,79.097889,PM10,51,73,61
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","15-02-2026 11:00:00",14.465052,78.824187,PM2.5,57,92,72
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","15-02-2026 11:00:00",14.465052,78.824187,NH3,4,5,5
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","15-02-2026 11:00:00",14.465052,78.824187,CO,4,17,17
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","15-02-2026 11:00:00",16.9872867,81.7363176,PM2.5,79,206,125
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","15-02-2026 11:00:00",16.9872867,81.7363176,SO2,7,25,11
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","15-02-2026 11:00:00",13.615387,79.409230,PM10,NA,NA,NA
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","15-02-2026 11:00:00",27.103358,93.679645,SO2,9,11,10
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","15-02-2026 11:00:00",27.103358,93.679645,CO,19,66,22
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","15-02-2026 11:00:00",26.071318,91.87488,NO2,2,10,7
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","15-02-2026 11:00:00",26.10887,91.589544,SO2,7,24,12
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","15-02-2026 11:00:00",26.187500,91.744194,PM10,128,295,184
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","15-02-2026 11:00:00",26.187500,91.744194,NO2,NA,NA,NA
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","15-02-2026 11:00:00",26.187500,91.744194,NH3,1,1,1
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","15-02-2026 11:00:00",26.187500,91.744194,SO2,27,51,39
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","15-02-2026 11:00:00",26.181742,91.78063,PM2.5,177,387,308
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","15-02-2026 11:00:00",26.349082,92.68449,CO,12,22,19
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","15-02-2026 11:00:00",26.349082,92.68449,OZONE,8,9,9
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","15-02-2026 11:00:00",25.560083,87.553265,PM10,60,98,79
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","15-02-2026 11:00:00",25.560083,87.553265,CO,62,90,62
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","15-02-2026 11:00:00",26.0881305,87.93840336,PM2.5,53,107,79
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","15-02-2026 11:00:00",26.0881305,87.93840336,NH3,3,3,3
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","15-02-2026 11:00:00",27.308328,84.531742,PM10,105,175,133
